Marker,LowAllele,LowTau,HighAllele,HighTau,Pvalue
SNP1,1,1.0,2,5.419178014443014,2.8089204694536245e-5
SNP2,1,1.0,2,5.053905101300274,2.5714786600680643e-5
SNP3,1,1.0,2,5.231333923014955,3.2282208656965635e-6
SNP4,1,1.0,2,4.529481767578216,3.964245713845601e-5
SNP5,1,1.0,2,4.597378421663772,3.253289264058708e-5
SNP6,1,0.7913168683732628,2,1.0,0.032322226229672
SNP7,2,1.0,1,8.040621413437394,2.2843611495710515e-6
ID,1,1.0,2,6.672635725266977,4.601030916786588e-6
SNP9,1,1.0,2,7.450687724976262,7.693029279524474e-6
CT,1,1.0,2,8.510022166722967,7.945661635832403e-7
